,Symbol,Name,Sector
359,PAYC:NYSE,Paycom,Information Technology
360,PYPL:NYSE,PayPal,Information Technology
361,PENN:NYSE,Penn National Gaming,Consumer Discretionary
362,PNR:NYSE,Pentair,Industrials
363,PBCT:NYSE,People's United Financial,Financials
364,PEP:NYSE,PepsiCo,Consumer Staples
365,PKI:NYSE,PerkinElmer,Health Care
366,PFE:NYSE,Pfizer,Health Care
367,PM:NYSE,Philip Morris International,Consumer Staples
368,PSX:NYSE,Phillips 66,Energy
369,PNW:NYSE,Pinnacle West Capital,Utilities
370,PXD:NYSE,Pioneer Natural Resources,Energy
371,PNC:NYSE,PNC Financial Services,Financials
372,POOL:NYSE,Pool Corporation,Consumer Discretionary
373,PPG:NYSE,PPG Industries,Materials
374,PPL:NYSE,PPL,Utilities
375,PFG:NYSE,Principal Financial Group,Financials
376,PG:NYSE,Procter & Gamble,Consumer Staples
377,PGR:NYSE,Progressive Corporation,Financials
378,PLD:NYSE,Prologis,Real Estate
379,PRU:NYSE,Prudential Financial,Financials
380,PTC:NYSE,PTC,Information Technology
381,PEG:NYSE,Public Service Enterprise Group,Utilities
382,PSA:NYSE,Public Storage,Real Estate
383,PHM:NYSE,PulteGroup,Consumer Discretionary
384,PVH:NYSE,PVH,Consumer Discretionary
385,QRVO:NYSE,Qorvo,Information Technology
386,QCOM:NYSE,Qualcomm,Information Technology
387,PWR:NYSE,Quanta Services,Industrials
388,DGX:NYSE,Quest Diagnostics,Health Care
389,RL:NYSE,Ralph Lauren Corporation,Consumer Discretionary
390,RJF:NYSE,Raymond James Financial,Financials
391,RTX:NYSE,Raytheon Technologies,Industrials
392,O:NYSE,Realty Income Corporation,Real Estate
393,REG:NYSE,Regency Centers,Real Estate
394,REGN:NYSE,Regeneron Pharmaceuticals,Health Care
395,RF:NYSE,Regions Financial Corporation,Financials
396,RSG:NYSE,Republic Services,Industrials
397,RMD:NYSE,ResMed,Health Care
398,RHI:NYSE,Robert Half International,Industrials
399,ROK:NYSE,Rockwell Automation,Industrials
400,ROL:NYSE,Rollins,Industrials
401,ROP:NYSE,Roper Technologies,Industrials
402,ROST:NYSE,Ross Stores,Consumer Discretionary
403,RCL:NYSE,Royal Caribbean Group,Consumer Discretionary
404,SPGI:NYSE,S&P Global,Financials
405,CRM:NYSE,Salesforce,Information Technology
406,SBAC:NYSE,SBA Communications,Real Estate
407,SLB:NYSE,Schlumberger,Energy
408,STX:NYSE,Seagate Technology,Information Technology
409,SEE:NYSE,Sealed Air,Materials
410,SRE:NYSE,Sempra Energy,Utilities
411,NOW:NYSE,ServiceNow,Information Technology
412,SHW:NYSE,Sherwin-Williams,Materials
413,SPG:NYSE,Simon Property Group,Real Estate
414,SWKS:NYSE,Skyworks Solutions,Information Technology
415,SNA:NYSE,Snap-on,Industrials
416,SO:NYSE,Southern Company,Utilities
417,LUV:NYSE,Southwest Airlines,Industrials
418,SWK:NYSE,Stanley Black & Decker,Industrials
419,SBUX:NYSE,Starbucks,Consumer Discretionary
420,STT:NYSE,State Street Corporation,Financials
421,STE:NYSE,Steris,Health Care
422,SYK:NYSE,Stryker Corporation,Health Care
423,SIVB:NYSE,SVB Financial,Financials
424,SYF:NYSE,Synchrony Financial,Financials
425,SNPS:NYSE,Synopsys,Information Technology
426,SYY:NYSE,Sysco,Consumer Staples
427,TMUS:NYSE,T-Mobile US,Communication Services
428,TROW:NYSE,T. Rowe Price,Financials
429,TTWO:NYSE,Take-Two Interactive,Communication Services
430,TPR:NYSE,Tapestry,Consumer Discretionary
431,TGT:NYSE,Target Corporation,Consumer Discretionary
432,TEL:NYSE,TE Connectivity,Information Technology
433,TDY:NYSE,Teledyne Technologies,Industrials
434,TFX:NYSE,Teleflex,Health Care
435,TER:NYSE,Teradyne,Information Technology
436,TSLA:NYSE,Tesla,Consumer Discretionary
437,TXN:NYSE,Texas Instruments,Information Technology
438,TXT:NYSE,Textron,Industrials
439,COO:NYSE,The Cooper Companies,Health Care
440,HIG:NYSE,The Hartford,Financials
441,HSY:NYSE,The Hershey Company,Consumer Staples
442,MOS:NYSE,The Mosaic Company,Materials
443,TRV:NYSE,The Travelers Companies,Financials
444,DIS:NYSE,The Walt Disney Company,Communication Services
445,TMO:NYSE,Thermo Fisher Scientific,Health Care
446,TJX:NYSE,TJX Companies,Consumer Discretionary
447,TSCO:NYSE,Tractor Supply Company,Consumer Discretionary
448,TT:NYSE,Trane Technologies,Industrials
449,TDG:NYSE,TransDigm Group,Industrials
450,TRMB:NYSE,Trimble,Information Technology
451,TFC:NYSE,Truist Financial,Financials
452,TWTR:NYSE,Twitter,Communication Services
453,TYL:NYSE,Tyler Technologies,Information Technology
454,TSN:NYSE,Tyson Foods,Consumer Staples
455,USB:NYSE,U.S. Bancorp,Financials
456,UDR:NYSE,UDR,Real Estate
457,ULTA:NYSE,Ulta Beauty,Consumer Discretionary
458,UAA:NYSE,Under Armour (Class A),Consumer Discretionary
459,UA:NYSE,Under Armour (Class C),Consumer Discretionary
460,UNP:NYSE,Union Pacific,Industrials
461,UAL:NYSE,United Airlines,Industrials
462,UPS:NYSE,United Parcel Service,Industrials
463,URI:NYSE,United Rentals,Industrials
464,UNH:NYSE,UnitedHealth Group,Health Care
465,UHS:NYSE,Universal Health Services,Health Care
466,VLO:NYSE,Valero Energy,Energy
467,VTR:NYSE,Ventas,Real Estate
468,VRSN:NYSE,Verisign,Information Technology
469,VRSK:NYSE,Verisk Analytics,Industrials
470,VZ:NYSE,Verizon Communications,Communication Services
471,VRTX:NYSE,Vertex Pharmaceuticals,Health Care
472,VFC:NYSE,VF Corporation,Consumer Discretionary
473,VIAC:NYSE,ViacomCBS,Communication Services
474,VTRS:NYSE,Viatris,Health Care
475,V:NYSE,Visa,Information Technology
476,VNO:NYSE,Vornado Realty Trust,Real Estate
477,VMC:NYSE,Vulcan Materials,Materials
478,WRB:NYSE,W. R. Berkley Corporation,Financials
479,GWW:NYSE,W. W. Grainger,Industrials
480,WAB:NYSE,Wabtec,Industrials
481,WBA:NYSE,Walgreens Boots Alliance,Consumer Staples
482,WMT:NYSE,Walmart,Consumer Staples
483,WM:NYSE,Waste Management,Industrials
484,WAT:NYSE,Waters Corporation,Health Care
485,WEC:NYSE,WEC Energy Group,Utilities
486,WFC:NYSE,Wells Fargo,Financials
487,WELL:NYSE,Welltower,Real Estate
488,WST:NYSE,West Pharmaceutical Services,Health Care
489,WDC:NYSE,Western Digital,Information Technology
490,WU:NYSE,Western Union,Information Technology
491,WRK:NYSE,WestRock,Materials
492,WY:NYSE,Weyerhaeuser,Real Estate
493,WHR:NYSE,Whirlpool Corporation,Consumer Discretionary
494,WMB:NYSE,Williams Companies,Energy
495,WLTW:NYSE,Willis Towers Watson,Financials
496,WYNN:NYSE,Wynn Resorts,Consumer Discretionary
497,XEL:NYSE,Xcel Energy,Utilities
498,XLNX:NYSE,Xilinx,Information Technology
499,XYL:NYSE,Xylem,Industrials
500,YUM:NYSE,Yum! Brands,Consumer Discretionary
501,ZBRA:NYSE,Zebra Technologies,Information Technology
502,ZBH:NYSE,Zimmer Biomet,Health Care
503,ZION:NYSE,Zions Bancorp,Financials
504,ZTS:NYSE,Zoetis,Health Care
